Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
150,11,1,1,2,0.957352,1.268355,1.35411,1.336164,-0.372104,5.303305,0.693241
151,1,1,1,2,0.354319,-1.569263,-1.542826,-1.542701,-0.372104,6.993603,3.804977
152,22,1,1,1,0.957352,-0.150454,-0.275998,-0.299555,-0.372104,7.540855,3.318215
153,14,1,1,1,-0.851745,0.133308,0.152487,0.158447,-0.372104,7.685703,3.592062
154,10,1,1,1,0.957352,-0.150454,-0.210794,-0.234126,-0.372104,9.557705,4.249025
155,8,1,1,1,0.957352,0.700831,0.702067,0.681877,-0.372104,9.477668,4.096157
156,1,1,1,2,1.560384,0.417069,0.310841,0.289304,2.687418,6.993603,3.904599
157,24,1,1,1,1.560384,-1.569263,-1.64529,-1.673558,2.687418,7.909343,2.978786
158,1,1,1,2,-0.851745,0.984593,1.000144,1.00902,-0.372104,8.091603,3.63533
159,1,1,1,1,1.560384,0.417069,0.450564,0.420162,2.687418,8.938725,4.197582
160,13,1,1,1,-1.454777,0.133308,0.208377,0.223875,-0.372104,7.581128,3.310783
161,1,1,1,1,0.354319,-1.285501,-1.272694,-1.280986,-0.372104,8.379209,3.6742
162,8,1,1,2,2.163416,-1.00174,-1.049136,-1.0847,2.687418,9.76533,4.467887
163,12,1,1,1,0.957352,-1.569263,-1.533511,-1.542701,-0.372104,5.170484,3.494042
164,7,1,1,1,-0.851745,0.700831,0.739327,0.747305,-0.372104,7.398909,3.777353
165,10,1,1,1,0.957352,0.133308,0.105913,0.093018,-0.372104,9.700796,4.018922
166,14,1,1,2,-0.851745,0.417069,0.282896,0.289304,-0.372104,6.300786,2.725081
167,23,1,1,1,2.163416,1.268355,1.242332,1.205307,2.687418,8.196933,3.907359
168,8,1,1,1,1.560384,0.984593,1.093293,1.074449,2.687418,9.700796,4.656669
169,7,1,1,1,0.354319,1.552116,1.41,1.401593,-0.372104,7.21671,2.599713
170,10,1,1,2,0.354319,-0.434216,-0.425037,-0.430412,-0.372104,9.883107,4.259518
171,12,1,1,1,-0.851745,1.268355,1.186442,1.205307,-0.372104,9.839003,4.169473
172,1,1,1,1,-0.248713,-1.00174,-1.1516,-1.150128,-0.372104,8.379209,3.759179
173,26,1,1,1,-0.248713,-1.285501,-1.291323,-1.280986,-0.372104,9.680407,4.436337
174,1,1,1,1,-0.248713,0.700831,0.748641,0.747305,-0.372104,8.379209,4.173467
175,23,1,1,2,1.560384,-1.569263,-1.5894,-1.60813,2.687418,7.504061,3.466953
176,14,1,1,2,0.354319,-1.569263,-1.468307,-1.477272,-0.372104,6.980448,3.00632
177,22,1,1,1,-1.454777,-0.434216,-0.322573,-0.299555,-0.372104,8.602306,3.230576
178,1,1,1,1,-0.851745,-1.00174,-1.09571,-1.0847,-0.372104,8.602306,3.709763
179,23,1,1,1,0.354319,-0.717978,-0.816263,-0.822985,-0.372104,8.420021,3.442734
180,23,1,1,1,-0.851745,-0.150454,-0.248054,-0.234126,-0.372104,7.504061,3.21231
181,8,1,1,1,0.354319,0.133308,0.171117,0.158447,-0.372104,9.190011,3.669881
182,14,1,1,1,0.957352,0.417069,0.441249,0.420162,-0.372104,9.63122,3.23657
183,18,1,1,1,0.354319,1.268355,1.270276,1.270735,-0.372104,6.811465,2.265144
184,13,1,1,2,-0.851745,0.417069,0.338785,0.354733,-0.372104,7.581128,2.776174
185,22,1,1,1,1.560384,-1.00174,-1.058451,-1.0847,2.687418,6.811465,3.480527
186,7,1,1,1,-0.248713,0.133308,0.087283,0.093018,-0.372104,8.083385,3.333565
187,1,1,1,2,-0.248713,-0.150454,-0.033811,-0.03784,-0.372104,9.190011,3.650881
188,14,1,1,1,0.957352,1.268355,1.149182,1.139878,-0.372104,7.836212,2.650996
189,1,1,1,2,-0.248713,-1.00174,-0.900097,-0.888413,-0.372104,6.993603,3.754151
190,24,1,1,2,0.354319,0.700831,0.823161,0.812734,-0.372104,7.909343,1.974824
191,26,1,1,1,-0.851745,1.268355,1.186442,1.205307,-0.372104,9.680407,4.708289
192,2,1,1,1,-1.455465,1.266025,1.184538,1.203553,-0.374206,9.048527,4.329048
